곡,아티스트,장르,인기도,댄스,에너지,긍정도,템포
Symphony - Acoustic Mix,Sick Individuals,pop,24,50,46,26,124
ひとりの夜を抜け,Lucky Kilimanjaro,pop,41,65,74,74,122
ガリレオ・ガール,NONA REEVES,pop,37,70,88,94,124
Make A Move,EMMA WAHLIN,pop,45,82,59,38,124
Flame of Love,Reiji Kawaguchi,pop,26,74,73,58,105
Breakthrough,TWICE,pop,65,87,73,62,112
MAKUAKE PARKGOLF remix,eill,pop,28,70,69,68,126
Woman We Are,Dream Shizuka,pop,26,70,89,59,144
Two Weeks,FKA twigs,pop,58,48,72,34,110
I Know There's Gonna Be (Good Times) [feat. Popcaan],Young Thug,pop,57,63,59,50,90
GLOWED UP,KAYTRANADA,pop,64,68,62,43,136
Should Have Known Better,Sufjan Stevens,pop,65,57,17,30,91
Retrograde,James Blake,pop,67,53,25,19,78
Don't Touch My Hair,Solange,pop,61,82,41,40,91
Girl,The Internet,pop,67,57,42,45,80
Don't Wanna Be Your Girl,Wet,pop,46,56,18,12,130
Chateau Lobby #4 (in C for Two Virgins),Father John Misty,pop,60,44,80,78,188
Open Eye Signal,Jon Hopkins,pop,53,80,72,20,122
Road Head,Japanese Breakfast,pop,60,54,67,16,95
Goodie Bag,Still Woozy,pop,45,70,53,58,138
Riding For The Feeling,Bill Callahan,pop,48,44,21,28,101
Rill Rill,Sleigh Bells,pop,56,47,81,79,73
The Words That Maketh Murder,PJ Harvey,pop,37,59,78,73,158
The Victory - Reloaded,Deborah Dworshipper,pop,46,69,63,48,120
Help,Saint Mars,pop,42,48,67,72,113
Never Enough,Blair Woods,pop,27,60,68,39,100
Wait for Me,CTZNJ,pop,43,30,57,37,90
If I Loved You,Royse,pop,38,66,83,42,115
Heart Beats Fast. (Xander Milne Remix),Eivind Husebø,pop,27,69,66,39,120
Firestone (feat. Conrad Sewell),Kygo,pop,16,68,64,42,114
Faded,Alan Walker,pop,77,59,65,17,90
Chandelier,Sia,pop,79,40,79,57,117
We Can't Stop,Miley Cyrus,pop,77,61,62,48,80
Rich Boy,Josh Stanley,pop,34,84,47,32,110
Uptown Funk,Mark Ronson,pop,82,86,61,93,115
Liar,Camila Cabello,pop,87,74,50,65,98
Story of My Life,One Direction,pop,80,60,66,29,121
Find U Again (feat. Camila Cabello),Mark Ronson,pop,74,60,66,16,104
TiK ToK,Kesha,pop,80,76,84,71,120
Five More Hours - Deorro x Chris Brown,Deorro,pop,68,70,88,50,128
Treat You Better,Shawn Mendes,pop,11,75,82,79,111
Say You Won't Let Go,James Arthur,pop,76,40,56,48,99
Sad (feat. Afrojack) - SLVR Remix,Chico Rose,pop,49,65,92,52,128
Memories,Maroon 5,pop,98,76,32,57,91
hot girl bummer,blackbear,pop,94,78,56,68,130
Look At Her Now,Selena Gomez,pop,86,56,56,55,154
Trampoline (with ZAYN),SHAED,pop,90,62,46,50,127
Hot (Remix) [feat. Gunna and Travis Scott],Young Thug,pop,86,84,63,55,112
Callaita,Bad Bunny,pop,90,61,62,24,176
Fantasias,Rauw Alejandro,pop,92,88,70,79,94
Old Town Road - Remix,Lil Nas X,pop,90,88,62,64,136
Nice To Meet Ya,Niall Horan,pop,87,59,84,39,109
Feelings,Lauv,pop,81,69,47,25,103
Orphans,Coldplay,pop,78,50,81,28,108
Piece Of Your Heart,MEDUZA,pop,30,68,74,63,124
Bones (feat. OneRepublic),Galantis,pop,77,66,80,51,120
Brave,Don Diablo,pop,68,65,87,54,120
One Touch (with ‪Jess Glynne),Jess Glynne,pop,16,69,76,58,124
Love You Like A Love Song,Selena Gomez & The Scene,pop,75,86,68,92,117
Ready or Not,Bridgit Mendler,pop,68,72,87,75,93
He Could Be the One,Hannah Montana,pop,65,60,89,64,126
Stronger (What Doesn't Kill You),Kelly Clarkson,pop,73,56,94,68,116
Glad You Came,The Wanted,pop,71,72,85,45,127
Cake By The Ocean,DNCE,pop,80,77,75,90,119
Do It Again,Pia Mia,pop,74,71,56,41,96
Truth Or Dare,Emily Osment,pop,44,56,75,70,137
Let You Love Me,Rita Ora,pop,72,48,85,45,96
Big Girls Don't Cry (Personal),Fergie,pop,74,71,64,25,113
Toxic,Britney Spears,pop,78,77,84,92,143
Outside Looking In,Jordan Pruitt,pop,40,69,29,42,96
Bleeding Love,Leona Lewis,pop,77,64,66,22,104
So Close,Jennette McCurdy,pop,36,61,66,53,117
Who I Am,Nick Jonas & The Administration,pop,49,64,76,76,107
"Determinate - From ""Lemonade Mouth""",Adam Hicks,pop,64,56,77,22,140
Tell Me Something I Don't Know - Soundtrack,Selena Gomez,pop,59,61,94,70,145
Esperándola sin más,Ignasi Vidal,pop,32,32,40,22,97
Canción del encantamiento,Carmen López,pop,37,38,1,51,88
Introducing Me,Nick Jonas,pop,49,51,50,68,113
What it Takes,Aaryn Doyle,pop,31,71,87,65,101
Years,Astrid S,pop,69,66,28,26,124
Dear Society,Madison Beer,pop,75,65,59,42,146
Doing To Me,Astrid S,pop,66,72,76,37,133
Say It to My Face,Madison Beer,pop,57,75,57,59,114
OK (Anxiety Anthem),Mabel,pop,70,68,80,53,99
Lonely,Noah Cyrus,pop,75,59,26,30,85
Sweet but Psycho,Ava Max,pop,87,72,70,63,133
Daylight,Matt and Kim,pop,10,58,79,71,103
Run the World (Girls),Beyoncé,pop,75,73,90,76,127
Waves - Robin Schulz Radio Edit,Mr. Probz,pop,76,83,51,45,120
Habits (Stay High) - The Chainsmokers Extended Mix,Tove Lo,pop,48,68,77,4,128
So High,Ruben,pop,63,57,50,24,120
If You Can't Hang,Sleeping With Sirens,pop,65,40,98,45,192
The Left Side of Everywhere,Sleeping With Sirens,pop,42,37,97,41,180
There’s No Such Thing As Accidental Infidelity,You Me At Six,pop,37,43,78,49,83
You’ve Made Your Bed (So Sleep In It),You Me At Six,pop,0,47,90,55,176
Finders Keepers,You Me At Six,pop,0,49,90,38,122
Time-Bomb,All Time Low,pop,0,52,92,67,139
Sick Little Games,All Time Low,pop,0,48,80,47,97
"Dear Maria, Count Me In",All Time Low,pop,0,46,89,60,181
She's Finding Me Out,The Friday Night Boys,pop,31,31,70,25,186
Kids in Love,Mayday Parade,pop,45,51,96,72,135
Don't Be So Hard,The Audition,pop,29,39,92,46,170
Hero / Heroine,Boys Like Girls,pop,38,42,90,32,164
You Might As Well Be In Space,The Years Gone By,pop,0,35,96,67,145
Up All Night,blink-182,pop,1,48,90,45,156
What's My Age Again?,blink-182,pop,13,40,95,43,158
Stitches,Shawn Mendes,pop,77,75,75,76,150
Blank Space,Taylor Swift,pop,78,76,70,57,96
Chandelier,Sia,pop,79,40,79,57,117
no tears left to cry,Ariana Grande,pop,83,70,71,35,122
Body on Me,Rita Ora,pop,62,64,74,53,89
Alive,Krewella,pop,55,67,83,57,128
Umbrella,Rihanna,pop,80,58,83,57,174
Shut Up and Dance,WALK THE MOON,pop,82,58,87,62,128
Take Me to Church,Hozier,pop,24,57,66,44,129
Let It Go - English Version,Idina Menzel,pop,2,53,49,35,137
Lose You To Love Me,Selena Gomez,pop,85,49,34,10,103
Bang Bang,Jessie J,pop,39,71,78,74,150
Strip That Down (feat. Quavo),Liam Payne,pop,71,87,50,55,106
Who Will I Be,Demi Lovato,pop,0,49,95,75,152
Kiss You,One Direction,pop,72,63,93,90,90
Can We Dance,The Vamps,pop,0,64,85,59,130
Lightning In A Bottle,The Summer Set,pop,0,66,87,76,129
Round & Round,Selena Gomez & The Scene,pop,52,55,69,49,128
Cloud 9 - Original TV Movie Soundtrack,Dove Cameron,pop,51,47,93,26,122
Hillside Boys,Kim Petras,pop,56,77,64,74,124
Cough Syrup,Young the Giant,pop,70,53,72,22,129
Break Me Down,L0uie L0u,pop,3,57,83,69,76
All I Got (feat. Jae Mazor & Rippa Da Kid),Orion Paxx,pop,3,65,89,46,173
I'm Good,Rippa da Kid,pop,5,64,72,32,188
Epic,Fayn,pop,5,81,44,26,138
Alone Together,Fall Out Boy,pop,60,55,92,61,90
Believer,Imagine Dragons,pop,9,78,78,72,125
Hooked on a Feeling,Blue Swede,pop,75,55,82,93,118
American Idiot,Green Day,pop,78,38,99,77,186
Working for the Weekend,Loverboy,pop,66,52,77,77,147
DJ Got Us Fallin' In Love (feat. Pitbull),Usher,pop,78,66,86,65,120
My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy,pop,68,56,92,57,152
Flaws,Bastille,pop,51,57,66,41,144
Here I Go Again 87 - 2017 Remastered Version,Whitesnake,pop,19,38,85,27,90
You Give Love A Bad Name,Bon Jovi,pop,16,54,96,83,123
Thunderstruck,AC/DC,pop,81,50,89,26,134
"Take Me Home, Country Roads - Rerecorded",John Denver,pop,44,26,43,55,164
One Week,Barenaked Ladies,pop,69,70,90,73,113
Your Love,The Outfield,pop,70,56,76,58,130
92 Explorer,Post Malone,pop,74,80,73,86,146
9 2 5,Terror Jr,pop,41,84,56,73,113
Perfect,Brooke Alexx,pop,26,86,56,56,122
Waste My Youth,GALXARA,pop,38,41,71,60,141
Playground,More Giraffes,pop,46,72,55,80,80
Middle Name,Thomston,pop,34,55,74,31,118
Joyride,SONIA,pop,61,74,68,40,168
On & On - Mixed,MØ,pop,53,65,65,90,89
useless,RUFUS,pop,44,81,34,49,92
Workin' On It,Meghan Trainor,pop,64,63,47,32,136
Kissing Other People,Lennon Stella,pop,74,70,66,38,94
Lovely,Fly By Midnight,pop,61,55,72,39,160
Gold Jacket,Sam Tsui,pop,29,65,54,25,130
One Second,Josh Arce,pop,38,67,72,81,124
Glue,Lee Bowie,pop,30,77,56,93,98
Girlfriend,Avril Lavigne,pop,72,56,96,67,164
I'm Just a Kid,Simple Plan,pop,70,53,83,42,110
Slow Down,Selena Gomez,pop,62,72,82,72,128
Our Song,Taylor Swift,pop,61,67,66,57,89
Stereo Hearts (feat. Adam Levine),Gym Class Heroes,pop,77,65,80,80,90
Bubbly,Colbie Caillat,pop,71,69,48,26,128
Piano's On The Beach,Jacques Renault,pop,44,53,73,92,100
Blue (Da Ba Dee) - Gabry Ponte Ice Pop Radio,Eiffel 65,pop,64,82,97,76,128
TiK ToK,Kesha,pop,15,76,83,74,120
Pompen,Kraantje Pappie,pop,53,95,73,57,127
Poker Face,Lady Gaga,pop,55,85,81,78,119
Watskeburt?!,De Jeugd Van Tegenwoordig,pop,55,95,49,59,130
Hotline Bling,Drake,pop,0,90,62,57,135
I Loved You (feat. Melissa Steel),Blonde,pop,55,65,79,35,122
This Girl (Kungs Vs. Cookin' On 3 Burners) - Kungs Vs. Cooki,Kungs,pop,20,79,73,49,122
The Party (This Is How We Do It) - Radio Edit,Joe Stone,pop,24,69,92,62,124
Rather Be (feat. Jess Glynne),Clean Bandit,pop,70,80,59,55,121
Liquor Locker,Vic Mensa,pop,1,56,44,48,80
ELEMENT.,Kendrick Lamar,pop,4,73,69,46,190
Pompeii,Bastille,pop,5,68,72,57,127
Stressed Out,Twenty One Pilots,pop,83,73,64,65,170
Dancing With A Stranger (with Normani),Sam Smith,pop,87,74,52,35,103
Fancy,Iggy Azalea,pop,69,91,72,38,95
Young Dumb & Broke,Khalid,pop,83,80,54,39,137
Dance To This (feat. Ariana Grande),Troye Sivan,pop,74,74,76,71,117
Miami,Nicki Minaj,pop,46,87,54,72,157
Hey Hey Hey,Katy Perry,pop,55,65,70,48,134
no tears left to cry,Ariana Grande,pop,40,70,71,36,122
pete davidson,Ariana Grande,pop,36,65,31,30,120
Mercy,Shawn Mendes,pop,18,57,69,40,148
"Can't Back Down - From ""Camp Rock 2: The Final Jam""",Demi Lovato,pop,53,64,85,70,120
Watch Me,Bella Thorne,pop,40,71,71,64,125
TTYLXOX,Bella Thorne,pop,47,82,68,67,112
Meant to Be,Ross Lynch,pop,53,59,70,63,125
"I Don't Dance - From ""High School Musical 2""/Soundtrack Vers",CHAD,pop,60,80,88,68,104
Start of Something New,Melodyia Music,pop,58,66,73,20,104
Shades,Christopher Wilde,pop,43,82,79,58,115
Big Time Rush,Big Time Rush,pop,57,60,89,83,121
I Kissed A Girl,Katy Perry,pop,69,70,76,70,130
Troublemaker (feat. Flo Rida),Olly Murs,pop,59,76,86,96,106
Starboy,The Weeknd,pop,84,68,59,49,186
All About Us,He Is We,pop,55,45,55,37,172
What About Love,Austin Mahone,pop,53,63,78,28,100
Hall of Fame,The Script,pop,78,42,87,63,85
Bump,Baby Blue,pop,34,72,75,58,98
Whistle,Flo Rida,pop,76,75,94,74,104
Sugar,Maroon 5,pop,80,75,79,88,120
Hot N Cold,Katy Perry,pop,55,71,84,86,132
Look What You Made Me Do,Taylor Swift,pop,68,77,71,51,128
Mirrors,Justin Timberlake,pop,77,57,51,51,77
She Looks So Perfect,5 Seconds of Summer,pop,69,49,95,44,160
Super Bass,Nicki Minaj,pop,71,72,86,67,127
My First Kiss - feat. Ke$ha,3OH!3,pop,61,68,89,83,138
Burnin' Up,Jonas Brothers,pop,71,67,95,81,114
Who Knew,P!nk,pop,69,69,73,46,140
Someone New,Quentyn,pop,45,59,63,39,112
Moving On,Quentyn,pop,32,56,80,22,117
On Your Mind,Quentyn,pop,34,57,88,22,115
Lone Wolf,Nathaniel Stewart,pop,12,54,63,57,81
Higher,Quentyn,pop,37,42,63,28,117
Crazy Eights,Futurist,pop,24,46,59,24,90
Paradise,So So Sun,pop,20,67,72,41,115
She Said,Michael Moawad,pop,47,72,46,55,134
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,pop,77,72,76,74,102
Starving,Hailee Steinfeld,pop,77,73,62,51,100
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fif",ZAYN,pop,22,74,45,9,118
Love You Like A Love Song,Selena Gomez & The Scene,pop,9,86,67,87,117
Despacito - Remix,Luis Fonsi,pop,24,69,82,81,89
Sing Me to Sleep,Alan Walker,pop,61,49,61,17,176
2U (feat. Justin Bieber),David Guetta,pop,71,55,65,56,145
Safe And Sound,Capital Cities,pop,13,65,78,84,118
I'm In Control,AlunaGeorge,pop,5,73,85,67,104
No Lie,Sean Paul,pop,7,74,89,47,102
Shake It Off,Taylor Swift,pop,18,65,78,94,160
Panda,Desiigner,pop,6,58,77,24,145
Nobody Compares To You,Gryffin,pop,3,58,74,35,105
Can't Stop Dancin',Becky G,pop,56,64,67,57,100
You Don't Want Love,Heikki L,pop,19,51,89,41,128
This Feeling (feat. Kelsea Ballerini),The Chainsmokers,pop,22,54,65,47,105
Without Me,Halsey,pop,88,75,49,53,136
With You,Tyler Shaw,pop,42,73,56,45,98
Lost in the Fire,Gesaffelstein,pop,20,66,68,18,101
Bad Liar,Imagine Dragons,pop,13,38,64,8,178
Should've Known Better (feat. Anne-Marie),Clean Bandit,pop,53,64,73,51,75
Blow That Smoke (feat. Tove Lo),Major Lazer,pop,46,72,70,72,102
How You've Been - Black Caviar Remix,R3HAB,pop,36,75,83,28,118
Play,Jax Jones,pop,65,77,77,61,125
imagine,Ariana Grande,pop,11,71,47,38,62
Done Da Da,Massari,pop,46,49,80,68,168
1999,Charli XCX,pop,71,74,74,66,124
High School Dropout,Neon Dreams,pop,2,72,90,88,112
