곡,아티스트,장르,인기도,댄스,에너지,긍정도,템포
Paranoia,Hostile Array,rock,38,42,96,48,165
Falling Apart,Take The Day,rock,31,50,96,29,110
Half. Awake,Starsick System,rock,18,45,95,31,115
Me Against the Devil,Jake Adkins,rock,27,55,71,56,113
More Than Animals,Awake At Last,rock,26,66,92,59,112
Battle Inside,My Own Words,rock,32,42,86,37,148
Firefly,Breaking Benjamin,rock,53,48,85,53,92
Zero Gravity,Alveole,rock,17,52,92,64,140
So Far Away,Crossfade,rock,51,50,94,40,106
Trenches,Pop Evil,rock,34,55,95,59,100
Fake It,Seether,rock,0,60,95,60,99
In the End,Linkin Park,rock,83,56,86,40,105
Scars,I Prevail,rock,67,50,96,57,138
At Your Altar,Within The Grey,rock,20,50,92,45,95
Area,Zero Theorem,rock,22,43,98,44,178
wonderful life (feat. Dani Filth),Bring Me The Horizon,rock,62,41,96,41,173
Low,Wage War,rock,62,50,97,50,130
So Far Down,American Sin,rock,30,38,92,48,195
Cross Off,Mark Morton,rock,51,53,94,32,132
Back In Black,AC/DC,rock,83,31,70,76,188
Highway to Hell,AC/DC,rock,83,57,91,42,116
T.N.T.,AC/DC,rock,77,75,76,44,126
Dull Days,Robbers,rock,29,56,64,42,112
Cause the World Is Small,Brothers Page,rock,37,52,49,47,77
The Whole Truth,Abby K,rock,23,68,43,38,125
Sneakers,The Inoculated Canaries,rock,22,42,76,45,90
Sick As Our Secrets,Makes My Blood Dance,rock,27,54,85,51,112
Act One,The Let Go,rock,29,60,73,69,90
Walk Me Home,Joe McLeod,rock,32,53,63,41,80
Reflections,Irvine,rock,25,62,47,31,94
Rock And Roll All Nite,KISS,rock,3,58,83,88,145
Stereo,Hey Guy,rock,25,52,72,37,101
YYZ,Rush,rock,0,52,91,37,141
Do Me Right,Hollis Brown,rock,40,69,68,43,137
Holiday,Scorpions,rock,4,43,43,29,118
Believe In Love,Scorpions,rock,4,48,76,34,133
Walking On The Edge,Scorpions,rock,2,46,86,23,88
A Moment In A Million Years,Scorpions,rock,46,36,45,18,78
Poison,Alice Cooper,rock,57,30,91,30,119
Sweet Child O' Mine,Guns N' Roses,rock,8,45,90,69,125
It's a Long Way to the Top (If You Wanna Rock 'N' Roll),AC/DC,rock,70,46,86,53,136
Blame,Late Night Legacy,rock,41,56,86,77,91
Sweet Home Alabama,Lynyrd Skynyrd,rock,31,58,68,93,98
Simply Irresistible,Robert Palmer,rock,50,69,84,72,143
Kiss from a Rose,Wake Me,rock,44,52,92,15,134
Out In The Fields,Gary Moore,rock,52,44,95,36,180
For What It's Worth,Buffalo Springfield,rock,73,65,52,82,99
My Generation - Shel Talmy Stereo Version,The Who,rock,1,44,90,80,95
Alive,Pearl Jam,rock,12,30,82,54,76
"You're Gonna Go Far, Kid",The Offspring,rock,3,55,92,58,126
Cocaine,Eric Clapton,rock,1,68,55,68,105
I Love Rock N' Roll,Jane Ashton,rock,25,84,30,66,95
Feel Like Makin' Love (Remastered Album Version),Bad Company,rock,8,56,54,66,85
Stranglehold,Ted Nugent,rock,56,49,74,51,148
Bad Moon Rising,Creedence Clearwater Revival,rock,24,65,76,93,90
Rock Bottom - 2007 Remastered Version,UFO,rock,2,26,86,52,159
Baba O'Riley,The Who,rock,76,49,72,15,117
Green-Eyed Lady,Sugarloaf,rock,47,56,52,89,149
"Another Brick In The Wall, Pt. 2 - 2011 Remastered Version",Pink Floyd,rock,17,69,39,72,104
Riders on the Storm - New Stereo Mix,The Doors,rock,52,55,54,60,105
Listen to the Music,The Doobie Brothers,rock,75,64,60,91,106
18 and Life,Skid Row,rock,69,47,65,30,90
Blinded By The Light,Manfred Mann's Earth Band,rock,11,59,56,62,141
Wicked Game,HIM,rock,53,51,87,52,120
"Blue On Black (feat. Kenny Wayne Shepherd, Brantley Gilbert ",Five Finger Death Punch,rock,60,45,87,40,156
Truth To the Weak (Not Built To Collapse),Fire From The Gods,rock,39,49,94,58,163
Do You Really Want It,Nothing More,rock,57,22,89,56,171
Bulletproof,Godsmack,rock,56,39,91,64,162
Du hast,Rammstein,rock,67,64,92,72,125
Red Cold River,Breaking Benjamin,rock,2,30,96,19,92
One Step Closer,Linkin Park,rock,74,49,97,54,95
Go To War,Nothing More,rock,54,46,89,35,137
The Red,Chevelle,rock,68,51,84,33,140
Guerrilla Radio,Rage Against The Machine,rock,69,60,96,49,104
Steambreather,Mastodon,rock,52,36,98,26,165
Bad Company,Five Finger Death Punch,rock,6,56,89,17,114
Given Up,Linkin Park,rock,37,66,88,94,100
Monster,Skillet,rock,75,64,96,69,135
Cocaine - Original,Nomy,rock,45,42,87,35,177
Under The Knife,Rise Against,rock,3,57,98,52,104
Desire Into Gold,New Medicine,rock,30,49,94,45,164
One For The Money,Escape the Fate,rock,0,53,96,36,90
All My Friends Are Dead,Turbonegro,rock,54,28,98,46,185
Behave,Syden,rock,0,39,87,60,170
Pull the Pins,This Is Not Utopia,rock,25,44,97,24,90
Venom - Music From The Motion Picture,Eminem,rock,76,75,79,46,136
Leave It All Behind,Cult To Follow,rock,63,64,95,54,115
Paint It Black,The Rolling Stones,rock,0,46,79,57,159
Breaking The Law,Motörhead,rock,31,34,95,53,166
Barracuda,Heart,rock,0,51,93,61,137
Stand,Motörhead,rock,12,24,97,30,195
Little Wing,Jimi Hendrix,rock,0,49,54,44,140
The Trooper - 1998 Remastered Version,Iron Maiden,rock,8,29,86,70,162
Anarchy In The UK,Sex Pistols,rock,0,36,93,20,134
Jump - 2004 Remaster,Van Halen,rock,59,55,84,82,130
Ziggy Stardust - 1997 Remaster,David Bowie,rock,32,47,51,45,81
Sweet Child O' Mine,Guns N' Roses,rock,3,45,90,69,125
Long Way Back From Hell,Danzig,rock,0,36,76,16,173
You've Got Another Thing Coming,Judas Priest,rock,17,51,82,54,138
Motor City Madhouse - Edit,Ted Nugent,rock,0,45,93,47,119
Ten Thousand Fists,Disturbed,rock,63,54,98,21,107
Battle Born,Five Finger Death Punch,rock,55,46,96,39,148
You,Five Finger Death Punch,rock,51,56,98,43,136
Coming Undone,Korn,rock,71,69,68,55,75
I Am Machine,Three Days Grace,rock,67,40,97,48,75
My Nemesis,Five Finger Death Punch,rock,55,44,97,51,75
Tears Don't Fall,Bullet For My Valentine,rock,59,21,93,26,162
The Pretender,Foo Fighters,rock,76,43,96,36,173
Dangerous,Shaman's Harvest,rock,49,51,80,24,101
Reckless,JAXSON GAMBLE,rock,48,70,74,82,100
Comatose,Skillet,rock,66,36,96,45,170
Duck And Run,3 Doors Down,rock,0,51,93,85,88
Face Everything And Rise,Papa Roach,rock,54,41,99,36,140
Aerials,System Of A Down,rock,10,40,92,25,81
Medisin,SIXN,rock,46,56,80,32,88
Uni,Atlas,rock,40,46,94,28,160
Kano Kalokeria,Kim,rock,21,71,75,62,97
We Built This City,Critic City,rock,35,62,96,69,143
Survivor's Guilt,The Fight Left Inside,rock,21,51,89,30,150
On the Line,Fever Feel,rock,29,66,35,35,111
Hit or Miss,Winter Havens,rock,39,82,55,28,120
Countdown,KAY JAM,rock,26,59,79,56,134
You're Never Gonna Like Me,Bad Apples,rock,17,34,92,38,111
Dreaming of You,Louzada,rock,27,47,94,49,76
Gave 'em Love,Scoo8y Smack,rock,21,53,62,61,168
Dream On,Blacktop Mojo,rock,54,49,68,18,77
Octane,Burnos,rock,13,33,97,36,165
With Me Now,Blacklite District,rock,0,54,96,51,150
Whore,In This Moment,rock,1,60,88,54,90
Mz. Hyde,Halestorm,rock,49,56,93,50,138
No Surprise - Edit,Theory of a Deadman,rock,39,47,84,33,130
Die For You,Red,rock,35,61,90,42,128
Gunfight,Sick Puppies,rock,22,49,82,51,86
Take the Bullets Away (feat. Lacey Sturm),We As Human,rock,47,48,93,35,141
Narcissistic Cannibal (feat. Skrillex & Kill the Noise),Korn,rock,60,52,89,56,174
Criminal,Framing Hanley,rock,18,50,85,31,164
Fix Me,10 Years,rock,58,45,84,24,158
Drown,Theory of a Deadman,rock,26,48,94,38,142
Set Me on Fire,Flyleaf,rock,0,34,91,50,190
With Or Without You - Remastered,U2,rock,79,54,43,11,110
Never Tear Us Apart,INXS,rock,59,66,61,19,97
I Wanna Be with You Everywhere,Soul&Roll,rock,30,70,54,83,115
Think Twice,Lisa Gey,rock,33,56,55,40,134
Heaven Isn't Too Far Away,Luck Wallace,rock,29,47,50,43,144
The Flame,Cheap Trick,rock,62,63,58,36,97
Glory of Love,Peter Cetera,rock,71,52,58,31,145
(Don't Fear) The Reaper,Blue Öyster Cult,rock,10,37,93,56,141
The Rocker,Thin Lizzy,rock,0,26,91,51,145
Go to Hell,Alice Cooper,rock,38,37,66,52,166
The Wizard,Uriah Heep,rock,0,44,52,64,138
True Confessions,Blue Öyster Cult,rock,0,61,87,83,121
La Grange - 2005 Remaster,ZZ Top,rock,24,55,64,61,81
Fox On The Run,Sweet,rock,0,41,82,37,128
Death On Two Legs (Dedicated To...) - Remastered 2011,Queen,rock,12,37,69,50,125
Trampled Under Foot - 2007 Remastered Version,Led Zeppelin,rock,0,55,86,81,111
It's Alright,Black Sabbath,rock,0,39,55,48,80
I Stole Your Love,KISS,rock,0,48,97,52,96
Can't Get Enough (Remastered Album Version),Bad Company,rock,1,66,76,70,126
Heartbreaker,Free,rock,23,43,79,47,127
Majestic,Journey,rock,25,26,56,8,72
No Sugar Tonight,The Guess Who,rock,44,54,64,52,101
Heaven's On Fire,KISS,rock,5,63,91,73,124
Dude (Looks Like a Lady),Aerosmith,rock,1,57,96,93,126
Tom Sawyer,Rush,rock,3,54,86,58,88
Kashmir - 1990 Remaster,Led Zeppelin,rock,69,48,54,58,81
Lights Out - 2008 Remastered Version,UFO,rock,0,30,92,54,154
Tush,ZZ Top,rock,44,55,86,86,146
Purple Haze,Jimi Hendrix,rock,71,53,90,49,109
Bedside Radio - Remastered,Krokus,rock,22,54,74,89,125
Whiskey In The Jar,Thin Lizzy,rock,3,55,92,71,128
Wind Of Change,Scorpions,rock,8,43,62,24,151
When the Children Cry - 2006 Remaster,White Lion,rock,35,51,28,36,130
The Hell Song,Sum 41,rock,57,36,94,66,173
Meant to Live,Switchfoot,rock,54,40,90,51,152
Rope,Foo Fighters,rock,60,51,73,54,138
Sinner,Drowning Pool,rock,53,58,96,53,121
Denial,Sevendust,rock,34,61,88,50,104
Stupify,Disturbed,rock,55,49,94,44,196
Joker And The Thief,Wolfmother,rock,66,26,78,46,155
Handful Of Gold - Hounded Remix,CAZZETTE,latin,50,74,58,13,120
Tear Me Down (feat. Philip Rustad),Davai,latin,57,72,82,70,100
Save Tonight,Sam Feldt,latin,7,63,78,24,115
44th and 8th,Sean Bradford,latin,26,84,69,26,120
Breathin' (feat. Cara Hughes),Bortharm,latin,44,71,72,37,126
Show Me Love - EDX Remix / Radio Edit,Sam Feldt,latin,62,84,66,68,121
Never Gonna Give You Up,Mac Beez,latin,50,76,75,86,106
Tonight and Every Night,Robin Schulz,latin,48,77,64,29,124
Somebody Else,Zonoma,latin,54,69,52,18,107
Miami 82 - Kygo Remix,Syn Cole,latin,59,71,60,60,113
Oh Baby,Seizo,latin,46,70,80,39,124
Stuck On You,On June,latin,5,73,52,40,121
Forever And A Day - LVNDSCAPE Remix,Bolier,latin,3,68,87,48,118
Fall At Your Feet,Lucy Neville,latin,32,71,67,11,110
Fade Away,Sam Feldt,latin,3,69,71,39,105
Parecen Viernes,Marc Anthony,latin,71,66,86,97,96
Talento De Televisión,Willie Colón,latin,69,78,80,94,105
Vivir Bailando,Silvestre Dangond,latin,67,85,85,55,92
Adicto (feat. Marc Anthony),Prince Royce,latin,70,74,76,70,116
Loma de Cayenas,Vicente Garcia,latin,51,84,90,96,130
Canalla,Romeo Santos,latin,68,88,88,90,130
Payasos,Romeo Santos,latin,66,86,70,91,124
Frágil,Reynier Perez,latin,55,70,89,90,166
Sin Tu Amor,Mr. Don,latin,43,72,66,87,130
Adiós Amor,Daniela Darcourt,latin,62,68,77,30,93
Como la Manigua,Yuri Buenaventura,latin,38,65,45,51,88
Amantes - Versión Salsa,Greeicy,latin,51,77,71,79,97
Soñé Contigo,Anddy Caicedo,latin,45,80,86,82,102
Tu Falta de Querer,Son Tentacion,latin,52,70,77,81,96
Alucinado,Jose Carlos Garcia,latin,45,68,76,60,170
Lo Que Tú y Yo Vivimos (feat. Gente de Zona) - Ao Vivo,Gusttavo Lima,latin,64,67,92,41,92
Dividido,Alex Cuba,latin,50,84,35,75,148
Viaje Tropical - Live,Marissa Mur,latin,41,67,60,52,97
Fishaman (feat. Elkin Robinson),Juan Pablo Vega,latin,48,75,61,81,170
Quédate,Debi Nova,latin,63,89,48,93,120
Kumbayeo,Salomón Beda,latin,40,84,40,81,116
Aguacate,Salomón Beda,latin,17,71,63,50,95
Raúl en el Baúl,India Marte,latin,41,70,54,83,92
Identidad (feat. Ibeyi),Haydee Milanes,latin,40,67,37,82,93
A La Madrugada,Simon Grossmann,latin,2,67,85,97,164
Me Gustas Tú,Carolina Camacho,latin,38,85,30,50,88
La Futura,Gio Chamba,latin,36,79,82,60,88
Avanza,Lacandona Social Sound,latin,41,64,82,75,150
El Sueno de Frida,Antonio Garcia Isaac,latin,38,64,45,38,111
Respiração,Ley Line,latin,39,73,42,74,134
Chica Fugaz,Ricardo Bendek,latin,37,48,62,41,116
7 AM,Tomas Skyldeberg,latin,45,70,78,21,110
Chillseekers,Chill Cole,latin,15,70,75,52,120
Circular,Crisp Nibblets,latin,54,78,82,11,125
Summer Feelings,Onda Norte,latin,4,68,67,33,100
Tyto,Okwen,latin,37,83,76,14,118
Rewind,Cornpop,latin,50,72,82,24,112
Mexico Para Sempre,Il Greco,latin,42,81,70,49,118
Movimiento,Andréza,latin,40,65,67,70,180
Waste Our Time,BLAEKER,latin,3,62,67,46,180
Mirage,Dye O,latin,14,70,71,46,110
Somebody I'm Not,Martin Jensen,latin,55,73,73,78,100
Starfields,Hallman,latin,12,61,84,34,120
Chit Chat,Small Talk,latin,43,80,68,82,100
Beautiful People (feat. Khalid) - NOTD Remix,Ed Sheeran,latin,66,70,79,37,104
By My Side,CALVIN,latin,45,73,63,56,102
Selfish,Dimitri Vegas & Like Mike,latin,69,41,79,69,93
Dilemma,Jemme,latin,47,71,62,70,96
Moving On,Where The Man,latin,33,67,59,35,100
Cristina (feat. Shelow Shaq),Maffio,latin,77,86,60,87,102
Me Hubieras Dicho,Yiyo Sarante,latin,55,75,59,79,114
Borinquen Bella (feat. Zion & Lennox),Farruko,latin,63,79,73,45,91
Celebration (feat. Ky-Mani Marley),Maffio,latin,61,72,81,84,94
Palm Beach,Vicente Garcia,latin,48,85,54,77,110
Lluvia,Chongo de Colombia,latin,28,60,54,46,134
Andar em Paz,Urias,latin,44,52,28,50,157
Oasis - Ao Vivo no Estúdio MangoLab,Potyguara Bardo,latin,52,66,49,32,124
Duas da Tarde,Silva,latin,52,84,35,59,120
Maria João,Paula Caju,latin,26,65,64,70,109
Ficar Sem Você,Davi,latin,34,79,41,51,150
Caranguejo,Riko Viana,latin,25,81,64,89,140
Pense em Mim,Johnny Hooker,latin,44,42,45,40,179
Ovelha Negra,Renato Enoch,latin,31,64,30,13,132
Das Estrelas,As Bahias e a Cozinha Mineira,latin,37,39,46,35,176
Family,The Chainsmokers,latin,85,58,61,37,118
The Rest Will Follow,Ludvigsson,latin,51,75,83,40,120
Hold on Tight,Sterkøl,latin,50,61,75,61,128
Bored Games,Middle Class Richkids,latin,42,84,59,69,95
As Far as Feelings Go,Alle Farben,latin,66,68,80,60,106
Strongest (Alan Walker Remix),Ina Wroldsen,latin,69,72,79,85,92
Too Loud,ROËDS,latin,45,75,64,36,115
Globetrotter,Ludvigsson,latin,50,72,80,38,114
So Sick,EC Twins,latin,50,65,75,42,100
Not Ok,Kygo,latin,73,62,66,41,105
Don't Know How,Caj Morgan,latin,40,62,84,16,123
Room for Two,Moe Aly,latin,38,39,69,29,149
Bonnie & Clyde,Jake Cooper,latin,50,73,65,49,100
A Place For Us (feat. Ynnox),Dualities,latin,60,66,86,72,125
Waterfalls,Roger Martin,latin,46,58,78,17,118
Whenever (feat. Conor Maynard),Kris Kross Amsterdam,latin,74,73,76,52,110
Night Shift,Juze,latin,36,73,84,70,123
Running Wild,Nate VanDeusen,latin,36,68,65,63,150
Let Me Go,Nate VanDeusen,latin,29,70,72,88,150
Muscle Memory,Natania,latin,35,80,51,31,98
Look At Me,Suvenir,latin,30,60,87,22,140
Run Free - Alex Grey Remix,Deep Chills,latin,37,60,76,67,200
Pa' Mayté,Carlos Vives,latin,60,72,87,97,124
La Sirena,Luis Felipe Gonzalez,latin,1,76,86,96,100
25 Horas,Proyecto Uno,latin,54,72,95,95,125
Vanidosa,Prophex,latin,35,87,91,97,145
Por Causa da Bandida,Kaian Muniz,latin,23,79,82,61,134
Buscando - A Mi Tierra,Adrenalina Latina,latin,17,81,56,80,100
Weekend,Henry Santos,latin,49,76,69,90,125
Cara de Niño,Jonathan Moly,latin,42,70,88,93,100
El Tren del Sabor,Tony Succar,latin,30,82,85,92,107
La Promesa,Andrés Cepeda,latin,54,62,86,93,192
Lemon Wedge in the Sky,"Sarah, the Illstrumentalist",latin,59,73,78,69,92
Caffè Mocha,Jazzinuf,latin,44,88,54,78,94
Amazônia,Ariel T,latin,41,75,73,83,80
Villas,Dylan Sitts,latin,51,70,41,14,171
Venice,Gyvus,latin,62,88,56,80,95
Nataly's Portra,June Jissle,latin,40,84,40,48,136
Sunflower Dance,Trog'low,latin,41,82,57,62,95
Shifting Skies,Guustavv,latin,55,86,44,44,138
let's be lazy together,biosphere,latin,42,80,37,69,89
Tropico,Cloudchord,latin,40,62,51,30,85
bittersweet (feat. lando!),Dream Easy Collective,latin,40,86,34,31,90
Relaxing Jungle Sounds,Lluvia del Bosque,latin,54,44,90,5,150
Forest Rain,Rain Recordings,latin,75,8,100,0,172
My Body,Hot Shade,latin,1,66,84,87,104
By Your Side,Jonas Blue,latin,9,70,74,64,123
Fantasy - Felix Jaehn Remix,Alina Baraz,latin,42,64,78,25,123
Daydream,Broiler,latin,2,71,68,33,120
Give Me Your Love,Sigala,latin,31,64,94,69,125
Fed Up,LVNDSCAPE,latin,0,45,84,23,112
Try Again,Campsite Dream,latin,35,71,72,39,93
What Do You Love,Seeb,latin,9,54,90,39,96
Gimme! Gimme! Gimme!,GAMPER & DADONI,latin,65,62,75,42,126
Here With Me,Mada,latin,52,59,64,22,108
Rolling Stone (John Skyfield & ConKi Remix),East Love,latin,46,67,81,69,103
Made of Bones (Nightcall Remix),James Quick,latin,56,73,66,71,110
It Will Feel,Saco,latin,51,72,65,44,117
La Isla Bonita,Hr. Troels,latin,51,73,86,60,108
Sunshine Reggae,Ian Storm,latin,17,65,89,77,104
We Got The World,Charleon,latin,45,53,88,47,128
Since We Met,MVCA,latin,38,64,70,15,122
Save Tonight,Sam Feldt,latin,0,63,78,24,115
Two Princes - Radio Mix,Fake Pictures,latin,9,75,80,81,118
Bailando - Matoma Remix,Enrique Iglesias,latin,45,67,76,52,91
Cold Water (feat. Justin Bieber & MØ) - Lost Frequencies Rem,Major Lazer,latin,2,71,54,47,115
Animals - Gryffin Remix,Maroon 5,latin,1,55,84,53,101
The Sun,Meynberg,latin,48,75,54,40,116
Coming Home,Citna,latin,36,75,57,62,120
Waves - Robin Schulz Radio Edit,Mr. Probz,latin,43,83,51,45,120
Show Me Love,Max Lean,latin,47,72,88,22,125
Here Comes the Sun,Mauve,latin,52,81,58,43,120
Strangers,GAB,latin,51,73,69,32,124
Melody,Little Venice,latin,46,68,76,42,110
Time to Shine,Bogenhausen,latin,33,67,83,33,125
Sorry,WUSA,latin,33,64,87,79,114
Easy Love,Sigala,latin,67,68,94,65,124
Geronimo,Max Lean,latin,37,58,69,54,123
Here with You,NLSN,latin,44,75,73,43,105
Where the Rivers Flow - Radio Mix,Sons Of Maria,latin,49,70,84,24,120
Spaceship,Comet Blue,latin,45,68,72,62,118
Beat the Sunrise - Original Mix,SNBRN,latin,25,71,82,21,124
Uitzicht,Bakermat,latin,54,81,42,66,126
Land Down Under,Chachi,latin,7,70,80,24,120
Catchfire (Sun Sun Sun) - Edx Radio Edit,Spada,latin,3,76,77,36,124
Give It Up (feat. Salt Ashes),Cruels,latin,36,75,61,49,117
Ragga (Radio Edit),Bolier,latin,26,81,70,44,123
Live Forever - Dunisco featuring JeyJeySax Remix,Patrick Hagenaar,latin,24,75,62,71,124
Forever And A Day - LVNDSCAPE Remix,Bolier,latin,29,68,87,47,118
Capsize,FRENSHIP,latin,73,68,71,36,93
Hundred Miles,Yall,latin,64,48,71,49,98
Bailar Contigo,Monsieur Periné,latin,59,80,62,68,101
Te Me Fuiste,César Avila,latin,28,53,62,59,103
Si Alguna Vez,Mon Laferte,latin,50,74,61,86,127
Bongo Bong,Manu Chao,latin,66,76,55,96,150
Agüitaecoco,Simon Grossmann,latin,56,64,26,64,124
Música Tropical,Vera Pedro,latin,17,46,50,44,160
Choclo,Fideo y los del mondo,latin,15,79,53,66,100
Reforget,Lauv,latin,62,44,47,22,170
Something About You - ODESZA Remix,Hayden James,latin,63,70,67,10,105
Is It Love,3LAU,latin,51,64,74,29,125
Ocean (feat. Khalid),Martin Garrix,latin,76,51,69,22,140
Nevermind,Dennis Lloyd,latin,79,60,69,8,100
Let You Down,NF,latin,83,66,71,46,148
I Got U - Radio Edit,Duke Dumont,latin,20,63,84,55,121
The Wave,R3HAB,latin,50,75,41,39,80
Would You Ever,Skrillex,latin,67,65,91,9,126
Automatic - Kasbo Remix,ZHU,latin,32,55,70,35,100
No Doubt,Rogers & Dean,latin,35,56,76,10,160
Don't Leave (feat. AYER),TKDJS,latin,40,70,60,66,126
Heaven,Platon Emil,latin,0,66,66,33,108
Let's Go Home,Eklo,latin,43,68,63,72,98
Good Intentions (feat. Lourdiz),R3HAB,latin,36,46,65,20,96
Closer (feat. Halsey),The Chainsmokers,latin,85,75,52,66,95
Contact,Lulleaux,latin,58,65,76,67,96
It's Gotta Be You,Isaiah,latin,67,43,74,59,95
Breakup Song,De Hofnar,latin,32,74,54,23,95
El Sol No Regresa,La Quinta Estacion,latin,8,62,88,70,128
Que Lo Nuestro Se Quede Nuestro,Carlos Rivera,latin,71,46,44,29,144
Culpable O No - Miénteme Como Siempre,Luis Miguel,latin,73,54,37,25,70
Abrázame Muy Fuerte,Juan Gabriel,latin,72,52,39,31,136
Nada Fue Un Error,Coti,latin,3,61,89,83,139
La Vida Entera,Camila,latin,65,41,37,23,133
Azúcar Amargo,Fey,latin,43,68,94,69,130
Espacio sideral,Jesse & Joy,latin,61,60,48,81,90
Pasos de cero,Pablo Alborán,latin,67,75,64,80,100
Humanos a Marte,Chayanne,latin,67,69,90,79,93
Amor,Cristian Castro,latin,50,64,71,74,128
En El Muelle De San Blas,Maná,latin,72,64,69,70,97
Mirala Miralo,Alejandra Guzman,latin,61,67,89,58,122
Volví a Nacer,Carlos Vives,latin,65,59,81,51,98
Te Conozco,Ricardo Arjona,latin,57,53,59,31,150
Hasta Que Te Conocí,Juan Gabriel,latin,4,33,31,19,170
Tanto,Jesse & Joy,latin,78,77,73,62,144
¿Qué Ha Pasao'?,Abraham Mateo,latin,78,65,75,40,178
Tequila,Juanes,latin,77,76,69,70,156
"Mitad Mentira, Mitad Verdad",Río Roma,latin,64,74,83,64,99
Si por mi fuera,Beret,latin,74,70,75,88,150
Boomerang,Lalo Ebratt,latin,46,60,66,92,92
PAPI,Isabela Merced,latin,63,87,70,74,94
Hola Señorita - Robin Schulz Remix,Maître Gims,latin,61,73,83,70,101
Con Altura,ROSALÍA,latin,87,88,69,75,98
Me Gusta,Shakira,latin,79,78,70,78,92
Haute (feat. J Balvin & Chris Brown),Tyga,latin,70,95,72,35,103
Burn Out,ShiShi,latin,35,79,68,28,112
Naagin,Vayu,latin,65,81,50,24,97
Habibi (Ya Nour El Ein) - Recorded at Spotify Studios Stockh,Imenella,latin,55,68,79,60,100
Vem Me Satisfazer,MC Ingryd,latin,78,86,56,54,100
Contagious,Sean Tizzle,latin,31,83,67,82,113
Running Through My Mind,Lynn Hayek,latin,38,57,86,28,93
"Shaitan Ka Saala (From ""Housefull 4"")",Sohail Sen,latin,67,84,77,34,100
Goal,Patron,latin,73,88,75,46,101
Uuh Mama,Willy Paul,latin,26,78,66,91,95
Secukupnya,Hindia,latin,72,73,80,93,102
Pełnia,Smolasty,latin,54,57,90,78,180
Flotando,Francisca Valenzuela,latin,53,60,69,37,162
Mio,Devan,latin,39,71,76,47,95
Púrpura,Nanpa Básico,latin,58,78,46,37,148
No Estaba en Mis Planes,Sandoval,latin,52,33,46,33,170
De Qué Sirve,Paulina Rubio,latin,57,53,60,69,175
Chichi,Periko & Jessi Leon,latin,55,89,80,69,110
Algo contigo,Valeria Castro,latin,40,66,6,33,102
Despertar,Sasha Sokol,latin,42,63,62,67,119
Música,DJ Luian,latin,78,79,82,85,178
Que Tire Pa Lante,Daddy Yankee,latin,90,66,90,71,94
Whine Up,Nicky Jam,latin,46,82,66,66,105
Date La Vuelta,Luis Fonsi,latin,75,75,82,87,94
QUE PRETENDES,J Balvin,latin,86,64,79,94,93
Muito Calor,Ozuna,latin,73,81,86,60,98
Verte Ir,DJ Luian,latin,83,86,65,55,96
Perdóname,Mau y Ricky,latin,71,53,45,69,88
Baila Baila Baila - Remix,Ozuna,latin,80,78,57,49,100
Una Vida Para Recordar,Piso 21,latin,79,70,78,48,182
22,TINI,latin,74,70,64,81,176
Adictiva,Daddy Yankee,latin,77,79,77,70,99
"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Ta",benny blanco,latin,79,54,47,69,95
Hace Tiempo,Fonseca,latin,6,77,92,70,102
Niña Bonita,Chino & Nacho,latin,66,68,91,72,120
Hace Tiempo,Fonseca,latin,2,71,94,62,102
Prometo Olvidarte,Tony Dize,latin,49,81,84,78,106
Estrellita,J-King y Maximan,latin,0,69,84,73,100
El Problemon,Bonka,latin,0,78,78,81,123
Tengo Prisa,Dragon & Caballero,latin,41,82,75,91,97
Contigo,Cali Y El Dandee,latin,44,79,84,84,104
Aguacero,Altafulla,latin,0,64,76,81,192
Tus Ojos No Me Ven - feat. Joewell y Randy,Joey Montana,latin,45,82,57,67,95
La Alergia,Donny Caballero,latin,44,88,88,86,105
Cásate Conmigo,Silvestre Dangond,latin,68,56,88,65,94
Caminar de Tu Mano,Río Roma,latin,9,64,87,59,105
Chillax,Alkilados,latin,4,63,85,93,190
Dime Si Volverás,Dragon & Caballero,latin,33,72,83,87,120
Don't Wanna Lose You,Gloria Estefan,latin,52,55,36,47,82
No Te Olvidaré,Gloria Estefan,latin,39,60,44,26,144
Music of My Heart,*NSYNC,latin,43,38,56,40,112
No Me Dejes de Querer,Gloria Estefan,latin,36,70,89,87,83
I See Your Smile,Gloria Estefan,latin,34,40,46,23,79
Tu Fotografia,Gloria Estefan,latin,34,58,50,52,140
Tabaco Y Chanel,Bacilos,latin,68,64,58,70,97
Sabes A Chocolate,Kumbia Kings,latin,41,75,91,76,110
Dime Si Este Amor Se Acabo,Guille El Invencible,latin,0,77,93,80,95
Se Siente Bien,Dragon & Caballero,latin,20,77,73,90,96
Ya no me importas,Ferdy,latin,0,82,83,91,99
Me Gustas Tu,Manu Chao,latin,10,66,73,91,176
Desde Que No Estás,Fonseca,latin,45,61,90,92,182
El Besito,Pasabordo,latin,0,70,94,76,108
Mi error,Afrodisiaco,latin,0,77,86,74,94
Algo Está Cambiando,Julieta Venegas,latin,34,64,60,36,87
¿Y Por Que?,Danilo Parra,latin,18,75,95,91,107
Don,Miranda!,latin,0,82,74,96,120
De la Noche a la Mañana,Elefante,latin,54,82,64,91,129
Don't You Worry Child - Acoustic Version,Swedish House Mafia,latin,58,55,79,54,102
