이름,분류,질량g,낙하,연도,위도,경도
MacAlpine Hills 04907,L5,0.74,Found,2004,,
MacAlpine Hills 04916,L5,4.9,Found,2004,,
MacAlpine Hills 04926,H5,1.9,Found,2004,,
MacAlpine Hills 04935,L5,0.36,Found,2004,,
MacAlpine Hills 04944,H5,0.9,Found,2004,,
MacAlpine Hills 04953,L5,3.6,Found,2004,,
MacAlpine Hills 04962,H5,0.19,Found,2004,,
MacAlpine Hills 04971,H5,2,Found,2004,,
MacAlpine Hills 04980,H5,0.58,Found,2004,,
MacAlpine Hills 04990,L5,0.2,Found,2004,,
MacAlpine Hills 04999,L5,13.5,Found,2004,,
MacAlpine Hills 87311,H4,312.8,Found,1987,-84.217,160.5
MacAlpine Hills 87320,CR2,16.2,Found,1987,-84.217,160.5
MacAlpine Hills 88108,H5,6988.4,Found,1988,-84.217,160.5
MacAlpine Hills 88117,L6,1103.8,Found,1988,-84.217,160.5
MacAlpine Hills 88126,L6,293.9,Found,1988,-84.217,160.5
MacAlpine Hills 88136,EL3,74.4,Found,1988,-84.217,160.5
MacAlpine Hills 88145,H4,11.7,Found,1988,-84.217,160.5
MacAlpine Hills 88154,H6,79.1,Found,1988,-84.217,160.5
MacAlpine Hills 88163,H5,106.2,Found,1988,-84.217,160.5
MacAlpine Hills 88172,L6,37,Found,1988,-84.217,160.5
MacAlpine Hills 88181,L6,84.4,Found,1988,-84.217,160.5
MacAlpine Hills 88190,H5,49.8,Found,1988,-84.217,160.5
MacAlpine Hills 88200,H4,35.1,Found,1988,-84.217,160.5
MacKay Glacier 05204,LL6,894.3,Found,2005,,
MacKay Glacier 05213,LL5,352.3,Found,2005,,
MacKay Glacier 05222,LL5,81.3,Found,2005,,
MacKay Glacier 05231,CM1/2,6.2,Found,2005,,
MacKay Glacier 05240,LL5,1.2,Found,2005,,
MacKay Glacier 05250,L6,34.9,Found,2005,,
MacKay Glacier 05259,L6,0.8,Found,2005,,
MacKay Glacier 92503,H5,7.7,Found,1992,-76.967,162.0
Majuba 003,H4,1306,Found,2003,40.631,-118.409
Manlai,"Iron, ungrouped",166800,Found,1954,44.333,106.5
Mar'inka,"Iron, IIAB",144,Found,1976,47.9,37.5
Maslyanino,"Iron, IAB complex",26000,Found,1992,54.25,84.333
McAddo,L6,1100,Found,1935,33.75,-100.933
Mejillones,"Iron, IIAB",14830,Found,1875,-23.1,-70.5
Menindee Lakes 004,L6,158.5,Found,1969,-33.133,141.717
Mesa Verde Park,"Iron, IAB-ung",3500,Found,1922,37.167,-108.5
Meteorite Hills 001004,L5,27,Found,2000,-79.683,159.75
Meteorite Hills 001013,H6,10.1,Found,2000,-79.683,159.75
Meteorite Hills 001022,H5,19.3,Found,2000,-79.683,159.75
Meteorite Hills 001032,H6,9.7,Found,2000,-79.683,159.75
Meteorite Hills 001041,H6,11.6,Found,2000,-79.683,159.75
Meteorite Hills 001050,LL6,67.6,Found,2000,-79.683,159.75
Meteorite Hills 001059,H6,26.4,Found,2000,-79.683,159.75
Meteorite Hills 001068,L5,7.2,Found,2000,-79.683,159.75
Meteorite Hills 001077,H6,40.6,Found,2000,-79.683,159.75
Meteorite Hills 001086,LL5,9.8,Found,2000,-79.683,159.75
Meteorite Hills 001096,LL5,17.9,Found,2000,-79.683,159.75
Meteorite Hills 001105,LL5,10.6,Found,2000,-79.683,159.75
Meteorite Hills 001113,LL6,12.5,Found,2000,-79.683,159.75
Meteorite Hills 001122,H5,14.8,Found,2000,-79.683,159.75
Meteorite Hills 001131,H6,18.5,Found,2000,-79.683,159.75
Meteorite Hills 00400,"Iron, IIIAB",4583.8,Found,2000,-79.683,155.75
Meteorite Hills 00409,"Iron, IIIAB",14,Found,2000,-79.683,155.75
Meteorite Hills 00419,"Iron, IIIAB",9,Found,2000,-79.683,155.75
Meteorite Hills 00428,"Iron, ungrouped",45.8,Found,2000,-79.683,155.75
Meteorite Hills 00437,L6,2685.3,Found,2000,-79.683,155.75
Meteorite Hills 00446,L5,1181.3,Found,2000,-79.683,155.75
Meteorite Hills 00455,L5,489,Found,2000,-79.683,159.75
Meteorite Hills 00463,L6,369.9,Found,2000,-79.683,155.75
Meteorite Hills 00472,L6,348.3,Found,2000,-79.683,155.75
Meteorite Hills 00482,LL6,175.28,Found,2000,-79.683,155.75
Meteorite Hills 00491,LL6,106.57,Found,2000,-79.683,155.75
Meteorite Hills 00500,L6,230.7,Found,2000,-79.683,155.75
Meteorite Hills 00509,LL6,180.89,Found,2000,-79.683,155.75
Meteorite Hills 00518,LL6,247.8,Found,2000,-79.683,155.75
Meteorite Hills 00527,L5,225,Found,2000,-79.683,155.75
Meteorite Hills 00536,L6,137.19,Found,2000,-79.683,155.75
Meteorite Hills 00546,H5,75.87,Found,2000,-79.683,159.75
Meteorite Hills 00555,L5,91.05,Found,2000,-79.683,155.75
Meteorite Hills 00564,L5,53.58,Found,2000,-79.683,155.75
Meteorite Hills 00573,LL6,70.96,Found,2000,-79.683,155.75
Meteorite Hills 00583,L5,51.8,Found,2000,-79.683,155.75
Meteorite Hills 00592,L5,95.78,Found,2000,-79.683,155.75
Meteorite Hills 00601,LL6,58.56,Found,2000,-79.683,155.75
Meteorite Hills 00611,H6,113.77,Found,2000,-79.683,155.75
Meteorite Hills 00620,H6,125.21,Found,2000,-79.683,155.75
Meteorite Hills 00629,LL6,17.64,Found,2000,-79.683,155.75
Meteorite Hills 00638,LL6,7.5,Found,2000,-79.683,155.75
Meteorite Hills 00647,LL6,55.93,Found,2000,-79.683,155.75
Meteorite Hills 00656,L5,32.82,Found,2000,-79.683,155.75
Meteorite Hills 00665,LL6,30.04,Found,2000,-79.683,155.75
Meteorite Hills 00675,LL6,16.22,Found,2000,-79.683,155.75
Meteorite Hills 00684,L5,14.9,Found,2000,-79.683,155.75
Meteorite Hills 00693,L6,15.23,Found,2000,-79.683,155.75
Meteorite Hills 00702,H6,43,Found,2000,-79.683,159.75
Meteorite Hills 00711,CO3,17,Found,2000,-79.683,159.75
Meteorite Hills 00720,LL6,34.07,Found,2000,-79.683,155.75
Meteorite Hills 00729,L5,2.61,Found,2000,-79.683,155.75
Meteorite Hills 00739,CK4,9.21,Found,2000,-79.683,155.75
Meteorite Hills 00748,H6,2.09,Found,2000,-79.683,155.75
Meteorite Hills 00757,H6,8.42,Found,2000,-79.683,155.75
Meteorite Hills 00766,L6,15.66,Found,2000,-79.683,155.75
Meteorite Hills 00775,LL6,24.2,Found,2000,-79.683,155.75
Meteorite Hills 00784,H4,7.51,Found,2000,-79.683,155.75
Meteorite Hills 00793,H6,40.05,Found,2000,-79.683,155.75
Meteorite Hills 00803,L5,15.41,Found,2000,-79.683,155.75
Meteorite Hills 00812,"Iron, IIIAB",4.96,Found,2000,-79.683,155.75
Meteorite Hills 00821,H6,18.14,Found,2000,-79.683,155.75
Meteorite Hills 00830,H6,36.5,Found,2000,-79.683,159.75
Meteorite Hills 00839,L4,26.3,Found,2000,-79.683,159.75
Meteorite Hills 00848,H6,14.1,Found,2000,-79.683,159.75
Meteorite Hills 00857,LL6,21.7,Found,2000,-79.683,159.75
Meteorite Hills 00867,H5,21.3,Found,2000,-79.683,159.75
Meteorite Hills 00876,H6,22.1,Found,2000,-79.683,159.75
Meteorite Hills 00885,L5,30.99,Found,2000,-79.683,155.75
Meteorite Hills 00894,H6,15.08,Found,2000,-79.683,155.75
Meteorite Hills 00903,H5,21.82,Found,2000,-79.683,155.75
Meteorite Hills 00912,H6,27.62,Found,2000,-79.683,155.75
Meteorite Hills 00921,H4,10.2,Found,2000,-79.683,159.75
Meteorite Hills 00931,L6,6.9,Found,2000,-79.683,159.75
Meteorite Hills 00940,H4,50.8,Found,2000,-79.683,159.75
Meteorite Hills 00949,LL6,33.6,Found,2000,-79.683,159.75
Meteorite Hills 00958,L5,7,Found,2000,-79.683,159.75
Meteorite Hills 00967,LL6,69.7,Found,2000,-79.683,159.75
Meteorite Hills 00976,H5,24.9,Found,2000,-79.683,159.75
Meteorite Hills 00985,H6,25.4,Found,2000,-79.683,159.75
Meteorite Hills 00995,LL6,53.7,Found,2000,-79.683,159.75
Meteorite Hills 01005,L5,19000,Found,2001,-79.683,159.75
Meteorite Hills 01014,H5,180.1,Found,2001,-79.683,159.75
Meteorite Hills 01023,H6,452.8,Found,2001,-79.683,159.75
Meteorite Hills 01032,L5,247,Found,2001,-79.683,159.75
Meteorite Hills 01041,L5,198.6,Found,2001,-79.683,159.75
Meteorite Hills 01050,LL6,1375.1,Found,2001,-79.683,159.75
Meteorite Hills 01060,LL5,351.4,Found,2001,-79.683,159.75
Meteorite Hills 01069,L5,117.1,Found,2001,-79.683,159.75
Meteorite Hills 01078,CM2,19.5,Found,2001,-79.683,159.75
Meteorite Hills 01087,Howardite,28.41,Found,2001,-79.683,155.75
Meteorite Hills 01096,LL5,48.6,Found,2001,-79.683,159.75
Meteorite Hills 01105,L5,1.7,Found,2001,-79.683,159.75
Meteorite Hills 01114,LL5,56.2,Found,2001,-79.683,159.75
Meteorite Hills 01124,H5,41.6,Found,2001,-79.683,159.75
Meteorite Hills 01133,LL6,16.6,Found,2001,-79.683,159.75
Meteorite Hills 01143,H6,44,Found,2001,-79.683,159.75
Meteorite Hills 01152,H5,11.6,Found,2001,-79.683,159.75
Meteorite Hills 01161,L5,92.2,Found,2001,-79.683,159.75
Meteorite Hills 01170,L5,34.9,Found,2001,-79.683,159.75
Meteorite Hills 01179,H5,12.4,Found,2001,-79.683,159.75
Meteorite Hills 01189,LL5,11.4,Found,2001,-79.683,159.75
Meteorite Hills 01198,Acapulcoite,98.5,Found,2001,-79.683,159.75
Meteorite Hills 01207,LL5,45.7,Found,2001,-79.683,159.75
Meteorite Hills 01216,L5,8.8,Found,2001,-79.683,159.75
Meteorite Hills 01225,LL6,10.2,Found,2001,-79.683,159.75
Meteorite Hills 01234,L5,7,Found,2001,-79.683,159.75
Meteorite Hills 01243,H6,11.6,Found,2001,-79.683,159.75
Meteorite Hills 01253,H6,103.1,Found,2001,-79.683,159.75
Meteorite Hills 01262,L5,9.7,Found,2001,-79.683,159.75
Meteorite Hills 01271,L5,141.8,Found,2001,-79.683,159.75
Meteorite Hills 01280,L5,63.2,Found,2001,-79.683,159.75
Meteorite Hills 01289,LL5,23.7,Found,2001,-79.683,159.75
Meteorite Hills 01298,L5,7.4,Found,2001,-79.683,159.75
Meteorite Hills 01307,LL6,8.7,Found,2001,-79.683,159.75
Meteorite Hills 01317,H5,1.3,Found,2001,-79.683,159.75
Meteorite Hills 01326,L5,10.9,Found,2001,-79.683,159.75
Meteorite Hills 96508,L6,629.2,Found,1996,-79.683,159.75
Meteorite Hills 96517,L5,126.6,Found,1996,-79.683,159.75
Meteorite Hills 96526,L5,63.5,Found,1996,-79.683,159.75
Meteorite Hills 96535,H6,45,Found,1996,-79.683,159.75
Meteorite Hills A78007,H6,174.8,Found,1978,-79.683,155.75
Meteorite Hills A78017,H6,46.9,Found,1978,-79.683,155.75
Meteorite Hills A78026,H6,75.2,Found,1978,-79.683,155.75
Miller (Kansas),H4,970,Found,1950,38.625,-96.023
Miller Range 03335,L5,2283.3,Found,2003,,
Miller Range 03344,H5,536.5,Found,2003,,
Miller Range 03353,L5,262.9,Found,2003,,
Miller Range 03362,LL5,400.2,Found,2003,,
Miller Range 03372,LL5,97.8,Found,2003,,
Miller Range 03381,H5,46,Found,2003,,
Miller Range 03390,H5,83.9,Found,2003,,
Miller Range 03399,LL5,18.6,Found,2003,,
Miller Range 03408,L5,1.43,Found,2003,,
Miller Range 03416,LL6,3.5,Found,2003,,
Miller Range 03425,H5,18.2,Found,2003,,
Miller Range 03436,H6,14.2,Found,2003,,
Miller Range 05001,L5,3055.5,Found,2005,,
Miller Range 05010,H4,582.4,Found,2005,,
Miller Range 05019,L5,394.4,Found,2005,,
Miller Range 05027,LL6,67.5,Found,2005,,
Miller Range 05037,H5,239,Found,2005,,
Miller Range 05046,L5,388.3,Found,2005,,
Miller Range 05056,LL5,113.6,Found,2005,,
Miller Range 05065,H5,23.3,Found,2005,,
Miller Range 05074,H5,88.4,Found,2005,,
Miller Range 05082,CB,12,Found,2005,,
Miller Range 05091,L5,14.8,Found,2005,,
Miller Range 05100,L6,17.3,Found,2005,,
Miller Range 05108,L6,19.5,Found,2005,,
Miller Range 05118,H4,1.4,Found,2005,,
Miller Range 05127,LL6,3.5,Found,2005,,
Miller Range 05135,L6,4.9,Found,2005,,
Miller Range 05145,LL6,2.1,Found,2005,,
Miller Range 05154,L5,72,Found,2005,,
Miller Range 05163,H6,42.9,Found,2005,,
Miller Range 07002,CV3,758.4,Found,2007,,
Miller Range 07012,LL6,2604.4,Found,2007,0.0,0.0
Miller Range 07021,H5,746.7,Found,2007,0.0,0.0
Miller Range 07036,H5,234.1,Found,2007,0.0,0.0
Miller Range 07045,L5,308.7,Found,2007,0.0,0.0
Miller Range 07054,L5,62.9,Found,2007,0.0,0.0
Miller Range 07063,L6,6.7,Found,2007,0.0,0.0
Miller Range 07072,L6,0.3,Found,2007,0.0,0.0
Miller Range 07082,H5,12.6,Found,2007,0.0,0.0
Miller Range 07092,H6,0.5,Found,2007,0.0,0.0
Miller Range 07101,H6,285.2,Found,2007,0.0,0.0
Miller Range 07110,H6,256.4,Found,2007,0.0,0.0
Miller Range 07119,"Iron, IVA",232.9,Found,2007,,
Miller Range 07128,H6,156.4,Found,2007,0.0,0.0
Miller Range 07137,L5,110.4,Found,2007,0.0,0.0
Miller Range 07147,LL5,97.2,Found,2007,,
Miller Range 07156,H6,57.1,Found,2007,0.0,0.0
Miller Range 07165,H5,54.1,Found,2007,0.0,0.0
Miller Range 07174,H6,65.4,Found,2007,0.0,0.0
Miller Range 07183,H6,110.7,Found,2007,0.0,0.0
Miller Range 07192,L5,78,Found,2007,0.0,0.0
Miller Range 07201,L5,59.8,Found,2007,0.0,0.0
Miller Range 07211,L6,38.2,Found,2007,0.0,0.0
Miller Range 07220,H6,1.7,Found,2007,0.0,0.0
Miller Range 07229,L6,1.7,Found,2007,0.0,0.0
Miller Range 07238,H6,13.2,Found,2007,0.0,0.0
Miller Range 07247,H6,1.7,Found,2007,0.0,0.0
Miller Range 07256,L6,0.4,Found,2007,0.0,0.0
Miller Range 07265,CO3,0.6,Found,2007,0.0,0.0
Miller Range 07275,H5,29.3,Found,2007,0.0,0.0
Miller Range 07284,L6,22.1,Found,2007,0.0,0.0
Miller Range 07293,CO3,16.7,Found,2007,0.0,0.0
Miller Range 07302,CO3,5.2,Found,2007,0.0,0.0
Miller Range 07311,CO3,0.7,Found,2007,0.0,0.0
Miller Range 07320,L6,4.2,Found,2007,0.0,0.0
Miller Range 07329,H6,6.1,Found,2007,0.0,0.0
Miller Range 07339,L4,1.2,Found,2007,0.0,0.0
Miller Range 07348,H5,23.1,Found,2007,0.0,0.0
Miller Range 07357,CO3,10.5,Found,2007,0.0,0.0
Miller Range 07366,H6,2.1,Found,2007,0.0,0.0
Miller Range 07375,H6,4,Found,2007,0.0,0.0
Miller Range 07384,CO3,28.6,Found,2007,0.0,0.0
Miller Range 07393,EH3,11.8,Found,2007,0.0,0.0
Miller Range 07403,CV3,0.5,Found,2007,0.0,0.0
Miller Range 07412,H5,22.3,Found,2007,0.0,0.0
Miller Range 07421,CO3,1.1,Found,2007,0.0,0.0
Miller Range 07430,LL5,0.8,Found,2007,0.0,0.0
Miller Range 07439,CO3,4.4,Found,2007,0.0,0.0
Miller Range 07448,"Iron, IAB complex",42.4,Found,2007,,
Miller Range 07458,H6,12.2,Found,2007,0.0,0.0
Miller Range 07468,H5,14.4,Found,2007,0.0,0.0
Miller Range 07477,LL6,2.3,Found,2007,0.0,0.0
Miller Range 07486,L5,5.4,Found,2007,0.0,0.0
Miller Range 07496,H6,8.5,Found,2007,0.0,0.0
Miller Range 07505,CO3,1.8,Found,2007,0.0,0.0
Miller Range 07515,L6,5.7,Found,2007,0.0,0.0
Miller Range 07524,H5,15.6,Found,2007,0.0,0.0
Miller Range 07535,H6,4.8,Found,2007,0.0,0.0
Miller Range 07544,H5,3.2,Found,2007,0.0,0.0
Miller Range 07553,L5,0.6,Found,2007,0.0,0.0
Miller Range 07562,L5,5.7,Found,2007,0.0,0.0
Miller Range 07571,H6,2.5,Found,2007,0.0,0.0
Miller Range 07581,L6,16.7,Found,2007,0.0,0.0
Miller Range 07590,CV3,1.8,Found,2007,0.0,0.0
Miller Range 07600,H5,0.6,Found,2007,0.0,0.0
Miller Range 07609,L6,0.3,Found,2007,0.0,0.0
Miller Range 07618,L5,11.4,Found,2007,0.0,0.0
Miller Range 07627,L5,7.7,Found,2007,0.0,0.0
Miller Range 07636,L5,3.4,Found,2007,0.0,0.0
Miller Range 07648,L6,0.7,Found,2007,0.0,0.0
Miller Range 07656,L6,5.2,Found,2007,0.0,0.0
Miller Range 07666,"Iron, IIAB",96.3,Found,2007,,
Miller Range 07675,CM2,37.4,Found,2007,0.0,0.0
Miller Range 07684,CV3,1.3,Found,2007,0.0,0.0
Miller Range 07694,CV3,12.7,Found,2007,0.0,0.0
Miller Range 07703,CM2,13.6,Found,2007,0.0,0.0
Miller Range 090001,CR2,6290,Found,2009,0.0,0.0
Miller Range 090010,CO3,2487.9,Found,2009,0.0,0.0
Miller Range 090020,L5,864.3,Found,2009,0.0,0.0
Miller Range 090029,Pallasite,356.4,Found,2009,0.0,0.0
Miller Range 090038,CO3,404.4,Found,2009,0.0,0.0
Miller Range 090046,LL6,331.7,Found,2009,0.0,0.0
Miller Range 090055,LL5,415.8,Found,2009,0.0,0.0
Miller Range 090064,L5,416.9,Found,2009,0.0,0.0
Miller Range 090073,CO3,255.5,Found,2009,0.0,0.0
Miller Range 090083,L6,203.4,Found,2009,0.0,0.0
Miller Range 090092,LL6,402.6,Found,2009,0.0,0.0
Miller Range 090101,L6,399.9,Found,2009,0.0,0.0
Miller Range 090110,LL6,163.4,Found,2009,0.0,0.0
Miller Range 090119,L6,176.4,Found,2009,0.0,0.0
Miller Range 090128,CO3,160.3,Found,2009,0.0,0.0
Miller Range 090137,L5,265.6,Found,2009,0.0,0.0
Miller Range 090147,LL6,2.2,Found,2009,0.0,0.0
Miller Range 090156,L6,76.4,Found,2009,0.0,0.0
Miller Range 090165,LL6,3.2,Found,2009,0.0,0.0
Miller Range 090174,CV3,0.8,Found,2009,0.0,0.0
Miller Range 090183,L6,2.8,Found,2009,0.0,0.0
Miller Range 090192,L6,25.7,Found,2009,0.0,0.0
Miller Range 090201,L5,28.6,Found,2009,0.0,0.0
Miller Range 090211,LL6,14.5,Found,2009,0.0,0.0
Miller Range 090220,Diogenite,28,Found,2009,0.0,0.0
Miller Range 090229,H5,38.5,Found,2009,0.0,0.0
Miller Range 090238,LL6,71.3,Found,2009,0.0,0.0
Miller Range 090247,LL6,8.2,Found,2009,0.0,0.0
Miller Range 090256,L6,2.2,Found,2009,0.0,0.0
Miller Range 090266,L5,13,Found,2009,0.0,0.0
Miller Range 090276,LL6,7.9,Found,2009,0.0,0.0
Miller Range 090285,L5,131.4,Found,2009,0.0,0.0
Miller Range 090295,L5,6.4,Found,2009,0.0,0.0
Miller Range 090304,L6,3.4,Found,2009,0.0,0.0
Miller Range 090313,L6,3,Found,2009,0.0,0.0
Miller Range 090322,L6,4,Found,2009,0.0,0.0
Miller Range 090330,L-imp melt,2,Found,2009,0.0,0.0
Miller Range 090340,Achondrite-ung,4.7,Found,2009,0.0,0.0
Miller Range 090349,LL6,1.4,Found,2009,0.0,0.0
Miller Range 090358,LL6,2.9,Found,2009,0.0,0.0
Miller Range 090367,L6,9,Found,2009,0.0,0.0
Miller Range 090375,L6,1,Found,2009,0.0,0.0
Miller Range 090384,L6,2.9,Found,2009,0.0,0.0
Miller Range 090393,L5,1.2,Found,2009,0.0,0.0
Miller Range 090403,L5,68.8,Found,2009,0.0,0.0
Miller Range 090413,LL6,55,Found,2009,0.0,0.0
Miller Range 090421,LL5,1.3,Found,2009,0.0,0.0
Miller Range 090430,LL6,10.9,Found,2009,0.0,0.0
Miller Range 090439,CO3,2.5,Found,2009,0.0,0.0
Miller Range 090448,L6,5.2,Found,2009,0.0,0.0
Miller Range 090457,CO3,32.6,Found,2009,0.0,0.0
Miller Range 090467,CO3,10.1,Found,2009,0.0,0.0
Miller Range 090476,L5,25.9,Found,2009,0.0,0.0
Miller Range 090485,CO3,4.6,Found,2009,0.0,0.0
Miller Range 090494,L6,1.9,Found,2009,0.0,0.0
Miller Range 090503,H6,0.6,Found,2009,0.0,0.0
Miller Range 090512,H6,0.7,Found,2009,0.0,0.0
Miller Range 090521,CK6,2.7,Found,2009,0.0,0.0
Miller Range 090531,L6,61.2,Found,2009,0.0,0.0
Miller Range 090540,H6,0.3,Found,2009,0.0,0.0
Miller Range 090549,H6,2.2,Found,2009,0.0,0.0
Miller Range 090557,L5,3.1,Found,2009,0.0,0.0
Miller Range 090566,L6,86.2,Found,2009,0.0,0.0
Miller Range 090575,L5,7.9,Found,2009,0.0,0.0
Miller Range 090584,LL5,65.5,Found,2009,0.0,0.0
Miller Range 090594,CO3,2.2,Found,2009,0.0,0.0
Miller Range 090603,LL6,15.9,Found,2009,0.0,0.0
Miller Range 090612,L6,41.7,Found,2009,0.0,0.0
Miller Range 090621,L6,32.9,Found,2009,0.0,0.0
Miller Range 090630,L5,11.1,Found,2009,0.0,0.0
Miller Range 090639,L6,4.9,Found,2009,0.0,0.0
Miller Range 090648,H-melt rock,32.7,Found,2009,0.0,0.0
Miller Range 090658,H6,12.8,Found,2009,0.0,0.0
Miller Range 090667,L5,1.4,Found,2009,0.0,0.0
Miller Range 090677,CV3,3.9,Found,2009,0.0,0.0
Miller Range 090686,CO3,1.3,Found,2009,0.0,0.0
Miller Range 090695,L6,24.4,Found,2009,0.0,0.0
Miller Range 090704,L6,11.7,Found,2009,0.0,0.0
Miller Range 090713,LL5,1.3,Found,2009,0.0,0.0
Miller Range 090723,CO3,0.6,Found,2009,0.0,0.0
Miller Range 090732,L5,7.1,Found,2009,0.0,0.0
Miller Range 090741,L6,129.8,Found,2009,0.0,0.0
Miller Range 090750,H5,6.1,Found,2009,0.0,0.0
Miller Range 090759,L6,16.9,Found,2009,0.0,0.0
Miller Range 090768,H5,28.3,Found,2009,0.0,0.0
Miller Range 090778,L6,35.1,Found,2009,0.0,0.0
Miller Range 090788,L6,51,Found,2009,0.0,0.0
Miller Range 090797,L6,43.1,Found,2009,0.0,0.0
Miller Range 090806,LL5,3.8,Found,2009,0.0,0.0
Miller Range 090815,H6,1.7,Found,2009,0.0,0.0
Miller Range 090824,H6,0.6,Found,2009,0.0,0.0
Miller Range 090833,H6,48,Found,2009,0.0,0.0
Miller Range 090843,L6,4.5,Found,2009,0.0,0.0
Miller Range 090853,L5,111.3,Found,2009,0.0,0.0
Miller Range 090862,LL5,87.5,Found,2009,0.0,0.0
Miller Range 090871,L6,63.5,Found,2009,0.0,0.0
Miller Range 090880,LL6,30,Found,2009,0.0,0.0
Miller Range 090889,LL6,3.7,Found,2009,0.0,0.0
Miller Range 090898,L6,0.6,Found,2009,0.0,0.0
Miller Range 090907,CO3,1.8,Found,2009,0.0,0.0
Miller Range 090917,LL6,4.5,Found,2009,0.0,0.0
Miller Range 090926,LL6,128.4,Found,2009,0.0,0.0
Miller Range 090935,LL5,17.9,Found,2009,0.0,0.0
Miller Range 090944,LL5,4.8,Found,2009,0.0,0.0
Miller Range 090953,L6,1.8,Found,2009,0.0,0.0
Miller Range 090962,L5,1.8,Found,2009,0.0,0.0
Miller Range 090971,LL6,4.8,Found,2009,0.0,0.0
Miller Range 090981,CV3,38.5,Found,2009,0.0,0.0
Miller Range 090990,L6,21.9,Found,2009,0.0,0.0
Miller Range 090999,L6,41.1,Found,2009,0.0,0.0
Miller Range 091008,LL6,9.9,Found,2009,0.0,0.0
Miller Range 11101,CO3,2.8,Found,2011,0.0,0.0
Miller Range 11204,Diogenite,16.2,Found,2011,0.0,0.0
Miller Range 99300,H5,2419.8,Found,1999,-83.25,157.0
Miller Range 99310,H5,315.7,Found,1999,-83.25,157.0
Miller Range 99319,L5,249.1,Found,1999,-83.25,157.0
Miller Range 99328,L6,6,Found,1999,-83.25,157.0
Mincy,Mesosiderite-B4,89400,Found,1857,36.55,-93.1
Modoc (1948),H6,1800,Found,1948,38.5,-101.1
Monument Draw,Acapulcoite,524.5,Found,1985,32.503,-102.743
Morokweng,LL6,750,Found,2004,-26.372,23.524
Mosca,L6,6220,Found,1942,37.633,-105.833
Mount Cranfield 03540,L3,151.9,Found,2003,,
Mount Howe 10920,LL5,711.3,Found,2010,0.0,0.0
Mount Moroto,L6,752,Found,1995,2.5,34.75
Mount Pratt 04405,LL6,1373.5,Found,2004,,
Mount Pratt 04414,H4,104.4,Found,2004,,
Mount Prestrud 95405,H5,31.9,Found,1995,-86.567,-165.117
Mount Prestrud 95415,L6,82.5,Found,1995,-86.567,-165.117
Mount Wisting 95302,L6,236.2,Found,1995,-86.45,-165.433
Muckera 002,Howardite,98,Found,1991,-30.05,130.217
Muckera 011,L6,26,Found,1991,-30.367,130.083
Mud Dry Lake,H3,18255,Found,2002,37.859,-117.021
Mulga (south),H4,894,Found,1963,-30.2,126.367
Mundrabilla 008,L6,57.1,Found,1982,-30.8,127.617
Mundrabilla 018,Howardite,24,Found,1990,-30.5,127.5
Muroc,L,18.4,Found,1936,34.917,-117.833
Nahuel Niyeu,H5,10540,Found,2005,-40.533,-66.633
Naretha,L4,5500,Found,1915,-31.0,124.833
Naviska,"Iron, IAB complex",147,Found,2004,32.5,-111.28
Neenach,L6,13800,Found,1948,34.8,-118.5
New Almelo,L5,8000,Found,1917,39.667,-100.0
New York,"Iron, IIIAB",2950,Found,1965,0.0,0.0
Nochtuisk,Iron,8,Found,1876,59.983,117.583
Norristown,"Iron, IIIAB",4200,Found,1965,32.517,-82.55
North West Forrest (H),H4,238.4,Found,1969,-30.767,128.017
Northwest Africa 1204,H4,393,Found,1999,,
Northwest Africa 012,L4,15,Found,1999,31.333,-4.333
Northwest Africa 021,L4,166,Found,1999,29.917,-5.583
Northwest Africa 032,Lunar (basalt),300,Found,1999,30.367,-5.05
Northwest Africa 041,L5/6,215,Found,1999,27.167,-9.5
Northwest Africa 051,L4,330,Found,,29.917,-5.583
Northwest Africa 060,CK5,604,Found,2000,,
Northwest Africa 070,H6,8224,Found,2000,,
Northwest Africa 091,L6,370,Found,2000,,
Northwest Africa 100,L6,7136,Found,2000,,
Northwest Africa 1045,H4/5,102,Found,2000,,
Northwest Africa 1053,L6,108,Found,2001,,
Northwest Africa 1061,L6,112,Found,2001,,
Northwest Africa 108,L6,1612,Found,2000,,
Northwest Africa 1150,Howardite,67.05,Found,2000,,
Northwest Africa 1161,H5,43,Found,1999,0.0,0.0
Northwest Africa 118,LL6,436,Found,2000,,
Northwest Africa 1195,Martian (shergottite),315,Found,2002,,
Northwest Africa 1207,H3,905,Found,1999,,
Northwest Africa 1216,H5,198,Found,1999,,
Northwest Africa 1225,L5,357,Found,1999,,
Northwest Africa 1234,LL6,102,Found,2000,,
Northwest Africa 1241,Ureilite,282,Found,2001,,
Northwest Africa 1251,H5/6,122,Found,2002,,
Northwest Africa 1261,L5,118,Found,2002,,
Northwest Africa 1270,L4/5,204,Found,2002,,
Northwest Africa 1296,Angrite,810,Found,2001,,
Northwest Africa 1390,H3.8,270,Found,2000,,
Northwest Africa 1430,"Iron, IIIAB",113000,Found,2001,,
Northwest Africa 1465,CV3-an,3000,Found,2001,,
Northwest Africa 1475,L6,220,Found,2001,,
Northwest Africa 1483,H5,10.4,Found,2001,,
Northwest Africa 1492,H4,72.2,Found,2002,,
Northwest Africa 1501,H5,542,Found,2001,,
Northwest Africa 151,L6,116,Found,2000,,
Northwest Africa 1518,H/L3,340,Found,2001,,
